test_index,feasible,recourse_band,original_score_band,solver_status,original_score,new_score,score_gap_to_threshold,total_cost,changed_features
2,False,infeasible,very_high_risk,gurobi_exact:Infeasible,0.5884691476821899,0.5884691476821899,0.28846914768218995,0.0,{}
4,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,0.7416170835494995,0.7313588261604309,0.4313588261604309,0.2721488950372685,"{""BILL_AMT3"": 0.13607444751863426}"
8,False,infeasible,moderate_risk,gurobi_exact:Infeasible|refined_7,0.3677075505256653,0.35122552514076233,0.05122552514076234,0.31625761516574447,"{""BILL_AMT3"": 0.15812880758287223}"
15,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,0.6360411047935486,0.6199676990509033,0.31996769905090333,0.31775468256323436,"{""BILL_AMT3"": 0.15887734128161718}"
19,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,0.8241280913352966,0.8170503377914429,0.5170503377914428,0.27414596679875014,"{""BILL_AMT3"": 0.13707298339937507}"
21,False,near_feasible,near_threshold,gurobi_exact:Infeasible|refined_7,0.320130318403244,0.30300381779670715,0.0030038177967071644,0.31007100214708394,"{""BILL_AMT3"": 0.15503550107354197}"
23,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,0.8068868517875671,0.7943103909492493,0.4943103909492493,0.31164203920610256,"{""BILL_AMT3"": 0.15582101960305128}"
29,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_6,0.40753886103630066,0.39549314975738525,0.09549314975738527,0.27324425698675103,"{""BILL_AMT3"": 0.13662212849337552}"
30,True,feasible,near_threshold,gurobi_exact:Infeasible|refined_3,0.31436383724212646,0.29755160212516785,-0.0024483978748321422,0.15529472218828008,"{""BILL_AMT3"": 0.07764736109414004}"
37,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,0.6143829226493835,0.6072002649307251,0.3072002649307251,0.2259683697872119,"{""BILL_AMT3"": 0.11298418489360595}"
38,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,0.7131038904190063,0.6982727646827698,0.3982727646827698,0.31635253198806,"{""BILL_AMT3"": 0.15817626599403}"
55,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_2,0.5983608961105347,0.5983452200889587,0.29834522008895875,0.06431302040602582,"{""BILL_AMT3"": 0.03215651020301291}"
58,False,infeasible,very_high_risk,gurobi_exact:Infeasible,0.5353394746780396,0.5353394746780396,0.23533947467803956,0.0,{}
61,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,0.6717845797538757,0.6651511192321777,0.36515111923217775,0.2259709881823102,"{""BILL_AMT3"": 0.1129854940911551}"
62,False,infeasible,near_threshold,gurobi_exact:Infeasible|refined_6,0.3472456634044647,0.3363889157772064,0.03638891577720643,0.2742627035802189,"{""BILL_AMT3"": 0.13713135179010946}"
63,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,0.6409913301467896,0.6286108493804932,0.3286108493804932,0.27182814163771885,"{""BILL_AMT3"": 0.13591407081885942}"
66,True,feasible,near_threshold,gurobi_exact:Infeasible|refined_1,0.3021819591522217,0.29575106501579285,-0.004248934984207142,0.05636270008902544,"{""BILL_AMT3"": 0.02818135004451272}"
71,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,0.6708204746246338,0.6545647382736206,0.3545647382736206,0.3155336289210467,"{""BILL_AMT3"": 0.15776681446052335}"
72,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,0.7974598407745361,0.7878535985946655,0.48785359859466554,0.26957959484699845,"{""BILL_AMT3"": 0.13478979742349922}"
83,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,0.683096706867218,0.6736900806427002,0.3736900806427002,0.2212194738771449,"{""BILL_AMT3"": 0.11060973693857246}"
88,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_2,0.780593752861023,0.7805705666542053,0.48057056665420533,0.06352008309040447,"{""BILL_AMT3"": 0.03176004154520223}"
100,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_4,0.4162198603153229,0.41503435373306274,0.11503435373306276,0.17627232181821356,"{""BILL_AMT3"": 0.08813616090910678}"
105,False,infeasible,very_high_risk,gurobi_exact:Infeasible,0.7507709264755249,0.7507709264755249,0.4507709264755249,0.0,{}
106,False,infeasible,near_threshold,gurobi_exact:Infeasible|refined_5,0.3297552466392517,0.3238123953342438,0.023812395334243786,0.2270877336917625,"{""BILL_AMT3"": 0.11354386684588125}"
112,False,infeasible,moderate_risk,gurobi_exact:Infeasible|refined_7,0.35243141651153564,0.3344268500804901,0.03442685008049012,0.31007100214708394,"{""BILL_AMT3"": 0.15503550107354197}"
114,False,infeasible,very_high_risk,gurobi_exact:Infeasible,0.5264755487442017,0.5264755487442017,0.22647554874420167,0.0,{}
121,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,0.608254075050354,0.6026589274406433,0.3026589274406433,0.22848377467837389,"{""BILL_AMT3"": 0.11424188733918694}"
129,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_6,0.4744090139865875,0.4595261812210083,0.1595261812210083,0.2689648174978617,"{""BILL_AMT3"": 0.13448240874893086}"
