test_index,feasible,recourse_band,original_score_band,solver_status,solver_family,original_score,new_score,score_gap_to_threshold,total_cost,changed_features,validity_reconstructed_score,validity_passes_threshold,validity_margin_below_threshold
2,False,infeasible,very_high_risk,gurobi_exact:Infeasible,gurobi_exact,0.5884691476821899,0.5884691476821899,0.28846914768218995,0.0,{},0.5884691476821899,False,-0.28846914768218995
4,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.7416170835494995,0.7313588261604309,0.4313588261604309,0.2721488950372685,"{""BILL_AMT3"": 0.13607444751863426}",0.7313588261604309,False,-0.4313588261604309
8,False,infeasible,moderate_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.3677075505256653,0.35122552514076233,0.05122552514076234,0.31625761516574447,"{""BILL_AMT3"": 0.15812880758287223}",0.35122552514076233,False,-0.05122552514076234
15,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.6360411047935486,0.6199676990509033,0.31996769905090333,0.31775468256323436,"{""BILL_AMT3"": 0.15887734128161718}",0.6199676990509033,False,-0.31996769905090333
19,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.8241280913352966,0.8170503377914429,0.5170503377914428,0.27414596679875014,"{""BILL_AMT3"": 0.13707298339937507}",0.8170503377914429,False,-0.5170503377914428
21,False,near_feasible,near_threshold,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.320130318403244,0.30300381779670715,0.0030038177967071644,0.31007100214708394,"{""BILL_AMT3"": 0.15503550107354197}",0.30300381779670715,False,-0.0030038177967071644
23,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_7,gurobi_exact,0.8068868517875671,0.7943103909492493,0.4943103909492493,0.31164203920610256,"{""BILL_AMT3"": 0.15582101960305128}",0.7943103909492493,False,-0.4943103909492493
29,False,infeasible,high_risk,gurobi_exact:Infeasible|refined_6,gurobi_exact,0.40753886103630066,0.39549314975738525,0.09549314975738527,0.27324425698675103,"{""BILL_AMT3"": 0.13662212849337552}",0.39549314975738525,False,-0.09549314975738527
30,True,feasible,near_threshold,gurobi_exact:Infeasible|refined_3,gurobi_exact,0.31436383724212646,0.29755160212516785,-0.0024483978748321422,0.15529472218828008,"{""BILL_AMT3"": 0.07764736109414004}",0.29755160212516785,True,0.0024483978748321422
37,False,infeasible,very_high_risk,gurobi_exact:Infeasible|refined_5,gurobi_exact,0.6143829226493835,0.6072002649307251,0.3072002649307251,0.2259683697872119,"{""BILL_AMT3"": 0.11298418489360595}",0.6072002649307251,False,-0.3072002649307251
